,ball_no,total_innings,mean_runs
0,1,218,0.564220183486
1,2,215,0.651162790698
2,3,213,0.774647887324
3,4,213,0.676056338028
4,5,208,0.764423076923
5,6,200,0.875
6,7,198,0.914141414141
7,8,195,0.779487179487
8,9,191,0.937172774869
9,10,187,0.807486631016
10,11,182,0.873626373626
11,12,180,0.866666666667
12,13,176,0.806818181818
13,14,172,0.941860465116
14,15,172,1.01744186047
15,16,170,0.905882352941
16,17,169,0.988165680473
17,18,166,0.771084337349
18,19,162,0.962962962963
19,20,159,0.842767295597
20,21,155,0.987096774194
21,22,153,0.862745098039
22,23,151,1.01324503311
23,24,148,1.05405405405
24,25,147,0.938775510204
25,26,143,0.888111888112
26,27,141,0.992907801418
27,28,137,0.92700729927
28,29,135,1.02962962963
29,30,133,1.15037593985
30,31,130,1.06923076923
31,32,127,1.00787401575
32,33,126,1.0
33,34,126,0.873015873016
34,35,125,0.976
35,36,117,1.24786324786
36,37,116,0.98275862069
37,38,111,1.05405405405
38,39,106,0.905660377358
39,40,104,0.932692307692
40,41,99,1.20202020202
41,42,94,1.08510638298
42,43,92,1.04347826087
43,44,89,1.13483146067
44,45,88,0.931818181818
45,46,84,1.2380952381
46,47,80,1.075
47,48,78,1.14102564103
48,49,77,0.948051948052
49,50,75,1.18666666667
50,51,75,0.973333333333
51,52,73,0.780821917808
52,53,71,1.15492957746
53,54,70,1.6
54,55,70,1.05714285714
55,56,69,1.40579710145
56,57,69,1.07246376812
57,58,69,1.08695652174
58,59,68,0.955882352941
59,60,65,1.18461538462
60,61,65,1.2
61,62,65,1.18461538462
62,63,63,1.22222222222
63,64,61,1.3606557377
64,65,59,1.30508474576
65,66,57,0.982456140351
66,67,56,1.19642857143
67,68,55,1.21818181818
68,69,54,1.2037037037
69,70,53,1.28301886792
70,71,53,1.35849056604
71,72,52,0.884615384615
72,73,50,1.06
73,74,45,0.955555555556
74,75,43,1.3488372093
75,76,43,1.11627906977
76,77,41,1.31707317073
77,78,40,1.075
78,79,39,1.02564102564
79,80,39,0.923076923077
80,81,37,1.45945945946
81,82,37,1.83783783784
82,83,35,1.0
83,84,35,1.14285714286
84,85,34,1.38235294118
85,86,32,1.15625
86,87,30,1.26666666667
87,88,28,1.25
88,89,27,1.11111111111
89,90,26,1.42307692308
90,91,24,2.08333333333
91,92,24,1.45833333333
92,93,23,1.47826086957
93,94,22,1.59090909091
94,95,22,1.81818181818
95,96,22,1.63636363636
96,97,20,1.45
97,98,20,1.6
98,99,20,0.65
99,100,18,0.944444444444
100,101,16,1.375
101,102,14,1.35714285714
102,103,14,1.57142857143
103,104,12,0.75
104,105,11,0.909090909091
105,106,10,1.0
106,107,9,1.11111111111
107,108,6,0.833333333333
108,109,5,0.6
109,110,5,0.6
110,111,4,1.0
111,112,4,0.75
112,113,4,2.5
113,114,2,0.5
114,115,2,1.5
115,116,2,2.0
116,117,1,1.0
117,118,1,1.0
118,119,1,1.0
119,120,1,6.0
120,121,1,1.0
121,122,1,6.0
122,123,1,6.0
123,124,1,6.0
124,125,1,1.0
125,126,1,4.0
126,127,1,4.0
127,128,1,1.0
128,129,1,2.0
129,130,1,4.0
130,131,1,2.0
131,132,1,0.0
132,133,1,1.0
133,134,1,0.0
