,ball_no,total_innings,mean_runs
0,1,101,0.514851485149
1,2,100,0.42
2,3,99,0.464646464646
3,4,97,0.824742268041
4,5,96,0.635416666667
5,6,93,0.720430107527
6,7,92,0.836956521739
7,8,88,0.863636363636
8,9,86,0.767441860465
9,10,84,0.654761904762
10,11,83,0.590361445783
11,12,83,0.843373493976
12,13,81,0.888888888889
13,14,81,0.777777777778
14,15,79,0.683544303797
15,16,77,0.766233766234
16,17,75,0.92
17,18,74,0.851351351351
18,19,73,0.986301369863
19,20,73,0.986301369863
20,21,73,0.835616438356
21,22,73,0.753424657534
22,23,72,1.08333333333
23,24,72,0.916666666667
24,25,70,0.757142857143
25,26,70,0.842857142857
26,27,68,0.808823529412
27,28,68,0.764705882353
28,29,67,0.671641791045
29,30,67,0.910447761194
30,31,67,0.746268656716
31,32,67,0.820895522388
32,33,66,0.924242424242
33,34,66,0.969696969697
34,35,66,0.80303030303
35,36,66,0.80303030303
36,37,66,0.772727272727
37,38,64,0.734375
38,39,63,0.84126984127
39,40,63,0.968253968254
40,41,62,0.91935483871
41,42,61,1.06557377049
42,43,60,0.816666666667
43,44,59,0.64406779661
44,45,57,1.0350877193
45,46,56,0.946428571429
46,47,56,0.892857142857
47,48,55,1.10909090909
48,49,55,0.890909090909
49,50,52,0.788461538462
50,51,49,0.816326530612
51,52,48,0.729166666667
52,53,47,1.1914893617
53,54,47,1.10638297872
54,55,47,0.851063829787
55,56,44,0.863636363636
56,57,42,0.857142857143
57,58,40,1.225
58,59,37,1.05405405405
59,60,37,0.72972972973
60,61,36,0.916666666667
61,62,36,0.833333333333
62,63,36,0.722222222222
63,64,36,0.694444444444
64,65,34,1.0
65,66,34,0.852941176471
66,67,32,0.90625
67,68,32,0.9375
68,69,31,1.25806451613
69,70,31,1.12903225806
70,71,30,1.13333333333
71,72,27,0.62962962963
72,73,26,0.769230769231
73,74,25,1.12
74,75,24,1.125
75,76,24,1.16666666667
76,77,22,1.13636363636
77,78,21,1.2380952381
78,79,21,0.952380952381
79,80,20,1.1
80,81,19,0.421052631579
81,82,19,0.684210526316
82,83,18,1.33333333333
83,84,18,1.11111111111
84,85,18,0.833333333333
85,86,18,0.944444444444
86,87,17,0.823529411765
87,88,16,1.375
88,89,16,1.3125
89,90,16,0.9375
90,91,16,0.375
91,92,16,0.875
92,93,16,0.9375
93,94,16,0.5625
94,95,16,1.0625
95,96,16,1.125
96,97,16,0.875
97,98,14,1.57142857143
98,99,14,1.42857142857
99,100,14,1.14285714286
100,101,13,1.23076923077
101,102,12,1.33333333333
102,103,12,1.08333333333
103,104,12,1.58333333333
104,105,12,1.25
105,106,12,1.91666666667
106,107,12,1.5
107,108,12,1.08333333333
108,109,11,1.0
109,110,8,0.75
110,111,6,0.333333333333
111,112,6,1.5
112,113,6,0.666666666667
113,114,6,0.833333333333
114,115,6,1.33333333333
115,116,5,0.8
116,117,5,0.8
117,118,4,1.0
118,119,4,0.75
119,120,4,2.0
120,121,4,0.5
121,122,4,2.5
122,123,4,0.75
123,124,4,1.25
124,125,4,1.25
125,126,3,1.66666666667
126,127,2,1.0
127,128,2,0.5
128,129,2,2.5
129,130,1,4.0
