,ball_no,total_innings,mean_runs
0,1,121,0.322314049587
1,2,121,0.355371900826
2,3,118,0.516949152542
3,4,118,0.601694915254
4,5,118,0.516949152542
5,6,118,0.669491525424
6,7,116,0.456896551724
7,8,116,0.5
8,9,112,0.6875
9,10,110,0.7
10,11,110,0.718181818182
11,12,109,0.816513761468
12,13,106,0.72641509434
13,14,104,0.740384615385
14,15,103,0.728155339806
15,16,102,0.696078431373
16,17,99,0.767676767677
17,18,97,0.628865979381
18,19,95,0.421052631579
19,20,93,0.623655913978
20,21,93,0.870967741935
21,22,92,0.771739130435
22,23,89,0.741573033708
23,24,87,0.793103448276
24,25,86,0.755813953488
25,26,86,0.767441860465
26,27,85,0.811764705882
27,28,82,0.878048780488
28,29,81,0.691358024691
29,30,79,0.620253164557
30,31,78,0.871794871795
31,32,78,0.807692307692
32,33,78,0.717948717949
33,34,76,0.881578947368
34,35,75,1.13333333333
35,36,74,0.986486486486
36,37,72,0.597222222222
37,38,72,1.02777777778
38,39,69,0.855072463768
39,40,69,1.04347826087
40,41,68,0.735294117647
41,42,66,0.863636363636
42,43,64,0.921875
43,44,61,1.08196721311
44,45,61,0.967213114754
45,46,60,0.65
46,47,59,0.864406779661
47,48,57,1.0
48,49,56,0.839285714286
49,50,55,1.29090909091
50,51,55,1.25454545455
51,52,54,0.87037037037
52,53,52,1.19230769231
53,54,51,1.13725490196
54,55,48,0.583333333333
55,56,47,1.08510638298
56,57,46,0.869565217391
57,58,46,1.60869565217
58,59,46,1.17391304348
59,60,46,0.760869565217
60,61,45,0.733333333333
61,62,44,1.20454545455
62,63,44,0.863636363636
63,64,42,0.761904761905
64,65,42,0.904761904762
65,66,41,1.0487804878
66,67,39,1.02564102564
67,68,39,0.897435897436
68,69,39,0.820512820513
69,70,39,1.12820512821
70,71,37,1.13513513514
71,72,35,1.05714285714
72,73,35,1.17142857143
73,74,34,1.20588235294
74,75,32,1.125
75,76,29,1.13793103448
76,77,29,1.34482758621
77,78,29,1.65517241379
78,79,29,1.03448275862
79,80,29,0.724137931034
80,81,28,1.10714285714
81,82,28,0.857142857143
82,83,27,0.851851851852
83,84,27,0.925925925926
84,85,27,1.03703703704
85,86,25,1.28
86,87,24,0.916666666667
87,88,24,0.708333333333
88,89,20,1.3
89,90,20,1.3
90,91,20,0.7
91,92,19,0.947368421053
92,93,17,1.52941176471
93,94,17,1.23529411765
94,95,17,1.11764705882
95,96,16,0.9375
96,97,16,0.875
97,98,15,1.33333333333
98,99,15,1.26666666667
99,100,14,0.428571428571
100,101,14,1.14285714286
101,102,12,0.833333333333
102,103,12,0.833333333333
103,104,11,1.18181818182
104,105,11,1.36363636364
105,106,11,0.727272727273
106,107,11,1.18181818182
107,108,10,0.7
108,109,9,0.444444444444
109,110,8,1.0
110,111,8,1.0
111,112,8,0.875
112,113,8,1.0
113,114,8,1.375
114,115,8,0.75
115,116,7,0.571428571429
116,117,7,1.28571428571
117,118,7,0.571428571429
118,119,6,1.0
119,120,5,0.8
120,121,4,0.75
121,122,4,0.5
122,123,4,1.5
123,124,4,1.0
124,125,4,1.0
125,126,4,1.5
126,127,4,0.5
127,128,4,1.25
128,129,4,1.0
129,130,4,0.75
130,131,3,0.666666666667
131,132,3,1.0
132,133,3,2.33333333333
133,134,3,2.0
134,135,3,0.0
135,136,2,2.0
136,137,2,1.0
137,138,2,2.0
138,139,2,1.5
139,140,2,6.0
140,141,1,2.0
141,142,1,0.0
142,143,1,0.0
