,ball_no,total_innings,mean_runs
0,1,94,0.521276595745
1,2,92,0.630434782609
2,3,88,0.647727272727
3,4,87,0.747126436782
4,5,85,0.729411764706
5,6,84,0.595238095238
6,7,82,0.90243902439
7,8,82,0.658536585366
8,9,80,0.7
9,10,78,0.961538461538
10,11,76,0.921052631579
11,12,74,0.608108108108
12,13,71,0.746478873239
13,14,68,0.705882352941
14,15,68,0.661764705882
15,16,64,0.75
16,17,62,0.951612903226
17,18,61,0.868852459016
18,19,61,0.72131147541
19,20,60,0.766666666667
20,21,58,0.655172413793
21,22,56,0.910714285714
22,23,56,0.946428571429
23,24,55,1.01818181818
24,25,55,0.963636363636
25,26,54,0.462962962963
26,27,51,1.13725490196
27,28,51,0.549019607843
28,29,50,0.94
29,30,49,0.612244897959
30,31,49,0.734693877551
31,32,48,0.729166666667
32,33,47,0.872340425532
33,34,45,1.08888888889
34,35,45,0.911111111111
35,36,44,0.75
36,37,43,0.860465116279
37,38,42,0.97619047619
38,39,39,1.05128205128
39,40,38,0.842105263158
40,41,38,0.763157894737
41,42,38,0.894736842105
42,43,38,0.657894736842
43,44,38,0.973684210526
44,45,38,1.10526315789
45,46,38,1.02631578947
46,47,37,0.783783783784
47,48,37,1.21621621622
48,49,34,0.794117647059
49,50,32,1.0625
50,51,32,0.40625
51,52,31,1.32258064516
52,53,30,1.13333333333
53,54,29,0.620689655172
54,55,28,0.642857142857
55,56,28,0.607142857143
56,57,27,0.851851851852
57,58,27,0.888888888889
58,59,27,1.07407407407
59,60,27,0.962962962963
60,61,26,0.807692307692
61,62,26,1.26923076923
62,63,26,1.03846153846
63,64,25,1.08
64,65,25,0.64
65,66,25,1.04
66,67,24,1.0
67,68,24,1.0
68,69,24,0.625
69,70,24,0.916666666667
70,71,23,0.913043478261
71,72,23,0.565217391304
72,73,22,1.18181818182
73,74,21,1.04761904762
74,75,21,0.52380952381
75,76,20,0.85
76,77,18,1.5
77,78,17,0.588235294118
78,79,17,0.470588235294
79,80,16,1.3125
80,81,16,0.9375
81,82,16,0.75
82,83,16,0.625
83,84,16,1.0625
84,85,16,0.6875
85,86,16,1.25
86,87,16,0.625
87,88,16,1.75
88,89,15,1.6
89,90,15,0.466666666667
90,91,14,1.0
91,92,14,1.0
92,93,14,1.35714285714
93,94,13,1.61538461538
94,95,13,0.307692307692
95,96,10,1.2
96,97,10,1.1
97,98,10,0.5
98,99,10,1.1
99,100,9,1.0
100,101,9,1.66666666667
101,102,9,1.44444444444
102,103,9,1.66666666667
103,104,8,2.25
104,105,8,1.125
105,106,7,0.571428571429
106,107,7,1.42857142857
107,108,6,1.33333333333
108,109,5,0.8
109,110,5,1.4
110,111,5,0.8
111,112,4,1.5
112,113,4,1.25
113,114,4,1.0
114,115,4,0.5
115,116,3,2.0
116,117,3,0.0
117,118,3,0.666666666667
118,119,3,0.333333333333
119,120,2,1.0
120,121,2,2.5
121,122,2,1.0
122,123,2,0.5
123,124,2,1.0
124,125,2,2.0
125,126,2,1.0
126,127,2,0.5
127,128,2,1.0
128,129,2,1.0
129,130,2,1.0
130,131,2,1.0
131,132,2,1.0
132,133,2,1.0
133,134,2,1.0
134,135,2,1.0
135,136,2,2.0
136,137,2,1.0
137,138,2,1.0
138,139,2,2.0
139,140,2,3.5
140,141,2,0.5
141,142,1,2.0
142,143,1,1.0
143,144,1,2.0
144,145,1,6.0
145,146,1,1.0
146,147,1,1.0
147,148,1,1.0
148,149,1,6.0
149,150,1,2.0
150,151,1,4.0
151,152,1,1.0
152,153,1,2.0
153,154,1,0.0
154,155,1,4.0
155,156,1,0.0
156,157,1,2.0
157,158,1,1.0
158,159,1,0.0
159,160,1,2.0
160,161,1,0.0
