,ball_no,total_innings,mean_runs,cumal_runs,batsman
0,1,218.0,0.564220183486,0.564220183486,AbdV
1,2,215.0,0.651162790698,1.21538297418,AbdV
2,3,213.0,0.774647887324,1.99003086151,AbdV
3,4,213.0,0.676056338028,2.66608719954,AbdV
4,5,208.0,0.764423076923,3.43051027646,AbdV
5,6,200.0,0.875,4.30551027646,AbdV
6,7,198.0,0.914141414141,5.2196516906,AbdV
7,8,195.0,0.779487179487,5.99913887009,AbdV
8,9,191.0,0.937172774869,6.93631164496,AbdV
9,10,187.0,0.807486631016,7.74379827597,AbdV
10,11,182.0,0.873626373626,8.6174246496,AbdV
11,12,180.0,0.866666666667,9.48409131627,AbdV
12,13,176.0,0.806818181818,10.2909094981,AbdV
13,14,172.0,0.941860465116,11.2327699632,AbdV
14,15,172.0,1.01744186047,12.2502118237,AbdV
15,16,170.0,0.905882352941,13.1560941766,AbdV
16,17,169.0,0.988165680473,14.1442598571,AbdV
17,18,166.0,0.771084337349,14.9153441944,AbdV
18,19,162.0,0.962962962963,15.8783071574,AbdV
19,20,159.0,0.842767295597,16.721074453,AbdV
20,21,155.0,0.987096774194,17.7081712272,AbdV
21,22,153.0,0.862745098039,18.5709163252,AbdV
22,23,151.0,1.01324503311,19.5841613583,AbdV
23,24,148.0,1.05405405405,20.6382154124,AbdV
24,25,147.0,0.938775510204,21.5769909226,AbdV
25,26,143.0,0.888111888112,22.4651028107,AbdV
26,27,141.0,0.992907801418,23.4580106121,AbdV
27,28,137.0,0.92700729927,24.3850179114,AbdV
28,29,135.0,1.02962962963,25.414647541,AbdV
29,30,133.0,1.15037593985,26.5650234809,AbdV
30,31,130.0,1.06923076923,27.6342542501,AbdV
31,32,127.0,1.00787401575,28.6421282658,AbdV
32,33,126.0,1.0,29.6421282658,AbdV
33,34,126.0,0.873015873016,30.5151441389,AbdV
34,35,125.0,0.976,31.4911441389,AbdV
35,36,117.0,1.24786324786,32.7390073867,AbdV
36,37,116.0,0.98275862069,33.7217660074,AbdV
37,38,111.0,1.05405405405,34.7758200615,AbdV
38,39,106.0,0.905660377358,35.6814804388,AbdV
39,40,104.0,0.932692307692,36.6141727465,AbdV
40,41,99.0,1.20202020202,37.8161929485,AbdV
41,42,94.0,1.08510638298,38.9012993315,AbdV
42,43,92.0,1.04347826087,39.9447775924,AbdV
43,44,89.0,1.13483146067,41.0796090531,AbdV
44,45,88.0,0.931818181818,42.0114272349,AbdV
45,46,84.0,1.2380952381,43.249522473,AbdV
46,47,80.0,1.075,44.324522473,AbdV
